date,year,month,sta,depth_mm
1989-01-15,1989,1,COT,2.1
1989-02-15,1989,2,COT,11.5
1989-03-15,1989,3,COT,36.1
1989-04-15,1989,4,COT,29.5
1989-05-15,1989,5,COT,35.9
1989-06-15,1989,6,COT,23.3
1989-07-15,1989,7,COT,27.2
1989-08-15,1989,8,COT,4.8
1989-09-15,1989,9,COT,88.4
1989-10-15,1989,10,COT,24.2
1989-11-15,1989,11,COT,27.3
1989-12-15,1989,12,COT,13.7
1990-01-15,1990,1,COT,1.8
1990-02-15,1990,2,COT,5.3
1990-03-15,1990,3,COT,41.1
1990-04-15,1990,4,COT,15
1990-05-15,1990,5,COT,74.5
1990-06-15,1990,6,COT,47.6
1990-07-15,1990,7,COT,71.9
1990-08-15,1990,8,COT,21.9
1990-09-15,1990,9,COT,14
1990-10-15,1990,10,COT,8.3
1990-11-15,1990,11,COT,14.3
1990-12-15,1990,12,COT,11.2
1991-01-15,1991,1,COT,4.4
1991-02-15,1991,2,COT,34.6
1991-03-15,1991,3,COT,6.7
1991-04-15,1991,4,COT,59.3
1991-05-15,1991,5,COT,173.4
1991-06-15,1991,6,COT,148.7
1991-07-15,1991,7,COT,5.6
1991-08-15,1991,8,COT,36.8
1991-09-15,1991,9,COT,19.4
1991-10-15,1991,10,COT,38
1991-11-15,1991,11,COT,13.6
1991-12-15,1991,12,COT,1.8
1992-01-15,1992,1,COT,21.9
1992-02-15,1992,2,COT,19.9
1992-03-15,1992,3,COT,42.2
1992-04-15,1992,4,COT,23.7
1992-05-15,1992,5,COT,29.2
1992-06-15,1992,6,COT,145.7
1992-07-15,1992,7,COT,106
1992-08-15,1992,8,COT,25.7
1992-09-15,1992,9,COT,10.7
1992-10-15,1992,10,COT,0.5
1992-11-15,1992,11,COT,36.7
1992-12-15,1992,12,COT,5.6
1993-01-15,1993,1,COT,8.9
1993-02-15,1993,2,COT,27.9
1993-03-15,1993,3,COT,7.7
1993-04-15,1993,4,COT,47.3
1993-05-15,1993,5,COT,67.8
1993-06-15,1993,6,COT,120
1993-07-15,1993,7,COT,115.7
1993-08-15,1993,8,COT,35.4
1993-09-15,1993,9,COT,45.7
1993-10-15,1993,10,COT,9.7
1993-11-15,1993,11,COT,25.9
1993-12-15,1993,12,COT,14.2
1994-01-15,1994,1,COT,8.7
1994-02-15,1994,2,COT,14.5
1994-03-15,1994,3,COT,6.7
