date,year,month,oel,cot,rap,int,mis,ora,mur
2018-05-29,2018,5,130,0,137,0,5,145,0
2018-05-28,2018,5,264,224,48,48,51,554,25
2018-05-22,2018,5,0,0,69,0,0,0,0
2018-05-21,2018,5,0,0,0,0,0,0,0
2018-05-20,2018,5,244,0,0,0,5,0,0
2018-05-17,2018,5,0,0,221,213,0,0,0
2018-05-14,2018,5,5,3,0,0,10,5,3
2018-05-13,2018,5,5,10,8,5,8,10,5
2018-05-12,2018,5,33,66,91,64,30,132,53
2018-05-09,2018,5,3,0,0,0,0,3,23
2018-05-08,2018,5,8,0,5,10,302,0,53
2018-05-07,2018,5,0,0,5,0,0,0,0
2018-05-06,2018,5,0,0,0,0,0,0,0
2018-05-05,2018,5,0,0,28,0,0,0,0
2018-05-02,2018,5,13,23,5,28,0,23,0
2018-05-01,2018,5,8,8,0,15,0,0,0
2018-04-30,2018,4,0,0,46,25,0,0,8
2018-04-29,2018,4,0,0,5,0,0,0,0
2018-04-23,2018,4,0,0,23,0,0,0,0
2018-04-22,2018,4,0,0,0,0,0,0,0
2018-04-15,2018,4,0,0,0,0,5,0,0
2018-04-14,2018,4,25,130,0,38,277,25,112
2018-04-13,2018,4,183,124,201,201,13,183,5
2018-04-06,2018,4,46,28,18,20,23,46,0
2018-04-03,2018,4,15,64,13,51,81,15,25
2018-03-31,2018,3,0,0,0,0,0,0,0
2018-03-30,2018,3,25,13,8,0,18,18,18
2018-03-29,2018,3,15,0,13,25,0,13,0
2018-03-28,2018,3,0,0,0,0,0,0,0
2018-03-27,2018,3,0,15,0,0,0,8,0
2018-03-26,2018,3,94,66,71,79,0,107,0
2018-03-25,2018,3,0,0,20,0,8,0,13
2018-03-24,2018,3,15,0,0,3,28,0,5
2018-03-23,2018,3,0,15,0,0,0,0,20
2018-03-22,2018,3,0,0,8,0,0,0,0
2018-03-21,2018,3,0,0,0,0,0,0,0
2018-03-20,2018,3,0,0,0,0,23,3,36
2018-03-19,2018,3,0,61,0,0,33,5,10
2018-03-18,2018,3,0,0,0,0,0,0,0
2018-03-17,2018,3,38,135,0,0,132,84,165
2018-03-16,2018,3,53,58,221,226,18,89,112
2018-03-15,2018,3,0,0,3,0,0,0,0
2018-03-14,2018,3,0,0,0,0,0,0,0
2018-03-13,2018,3,0,0,0,0,0,0,0
2018-03-12,2018,3,0,0,0,0,0,0,0
2018-03-11,2018,3,0,0,0,0,15,0,20
2018-03-10,2018,3,0,0,0,0,0,0,0
2018-03-09,2018,3,0,0,0,0,0,0,0
2018-03-08,2018,3,0,0,0,0,0,0,0
2018-03-07,2018,3,0,0,0,0,13,0,3
2018-03-06,2018,3,0,18,0,0,43,0,38
2018-03-05,2018,3,0,0,0,0,3,0,5
2018-03-04,2018,3,0,0,0,0,0,0,0
2018-03-03,2018,3,0,0,0,0,0,0,0
2018-03-02,2018,3,0,0,0,0,0,0,0
2018-03-01,2018,3,0,0,0,0,0,0,0
2018-02-28,2018,2,0,0,0,0,0,0,0
2018-02-27,2018,2,0,0,0,0,0,0,0
2018-02-26,2018,2,0,0,0,0,0,0,0
2018-02-25,2018,2,0,8,0,0,15,0,18
2018-02-24,2018,2,0,0,0,10,8,0,8
2018-02-23,2018,2,0,23,0,0,15,0,43
2018-02-22,2018,2,0,0,0,0,0,0,0
2018-02-21,2018,2,0,0,0,0,0,0,0
2018-02-20,2018,2,23,18,3,58,46,43,28
2018-02-19,2018,2,28,71,69,51,0,36,5
2018-02-18,2018,2,0,0,38,0,0,0,0
2018-02-17,2018,2,0,0,0,0,0,0,0
2018-02-16,2018,2,25,20,0,0,5,25,8
2018-02-15,2018,2,0,0,13,38,0,0,0
2018-02-14,2018,2,0,0,0,0,0,0,0
2018-02-13,2018,2,0,0,0,0,0,0,0
2018-02-12,2018,2,0,0,5,0,0,0,0
2018-02-11,2018,2,0,0,0,0,0,0,0
2018-02-10,2018,2,10,18,0,0,13,48,15
2018-02-09,2018,2,33,5,23,15,3,117,53
2018-02-08,2018,2,0,13,38,0,0,0,5
2018-02-07,2018,2,0,0,0,0,0,0,0
2018-02-06,2018,2,0,0,0,0,0,0,0
2018-02-05,2018,2,0,61,5,25,8,0,28
2018-02-04,2018,2,64,0,3,28,8,64,8
2018-02-03,2018,2,0,0,5,5,0,0,0
2018-02-02,2018,2,0,0,0,0,0,0,0
2018-02-01,2018,2,0,0,0,0,0,0,0
2018-01-31,2018,1,0,0,0,0,0,0,0
2018-01-30,2018,1,0,0,0,0,0,0,0
2018-01-29,2018,1,0,0,0,0,0,0,0
2018-01-28,2018,1,0,0,5,0,0,0,0
2018-01-27,2018,1,0,0,0,0,0,0,0
2018-01-26,2018,1,0,0,0,0,0,0,0
2018-01-25,2018,1,0,0,0,0,0,0,0
2018-01-24,2018,1,0,0,0,0,0,0,0
2018-01-23,2018,1,0,0,0,0,0,0,0
2018-01-22,2018,1,36,0,0,0,97,0,8
2018-01-21,2018,1,89,56,3,104,30,191,25
2018-01-20,2018,1,0,0,10,10,0,0,0
2018-01-19,2018,1,0,0,0,0,0,0,0
2018-01-18,2018,1,0,0,0,0,0,0,0
2018-01-17,2018,1,0,0,0,0,0,0,0
2018-01-16,2018,1,0,0,0,0,0,0,0
2018-01-15,2018,1,0,10,0,0,41,0,5
2018-01-14,2018,1,0,20,10,25,8,0,3
2018-01-13,2018,1,0,0,15,3,3,0,3
2018-01-12,2018,1,0,0,0,3,0,0,0
2018-01-11,2018,1,8,0,0,0,0,13,3
2018-01-10,2018,1,0,0,0,0,0,0,0
2018-01-09,2018,1,0,0,0,0,0,0,0
2018-01-08,2018,1,0,0,0,0,0,0,0
2018-01-07,2018,1,0,0,0,0,0,0,0
2018-01-06,2018,1,0,0,0,0,0,0,0
2018-01-05,2018,1,0,0,0,0,0,0,0
2018-01-04,2018,1,0,0,0,0,0,0,0
2018-01-03,2018,1,0,0,0,0,0,0,0
2018-01-02,2018,1,0,0,0,0,0,0,0
2018-01-01,2018,1,0,0,0,0,0,0,0
2017-12-31,2017,12,10,20,0,20,10,8,30
2017-12-30,2017,12,0,13,28,10,5,18,5
2017-12-29,2017,12,0,0,5,0,0,0,3
2017-12-28,2017,12,0,0,0,0,0,0,0
2017-12-27,2017,12,0,0,0,0,0,0,0
2017-12-26,2017,12,10,0,0,0,0,20,0
2017-12-25,2017,12,0,0,0,0,0,0,0
2017-12-24,2017,12,0,0,0,0,0,0,0
2017-12-23,2017,12,25,0,3,0,8,28,0
2017-12-22,2017,12,10,0,5,0,79,18,0
2017-12-21,2017,12,20,23,8,36,18,38,30
2017-12-20,2017,12,0,0,3,0,0,0,0
2017-12-19,2017,12,0,0,0,0,0,0,0
2017-12-18,2017,12,0,0,0,0,0,0,0
2017-12-17,2017,12,0,0,0,0,0,0,0
2017-12-16,2017,12,0,0,0,0,0,0,0
2017-12-15,2017,12,0,0,0,0,30,0,15
2017-12-14,2017,12,0,3,0,0,0,0,13
2017-12-13,2017,12,0,0,0,0,0,0,0
2017-12-12,2017,12,0,0,0,0,0,0,0
2017-12-11,2017,12,0,0,0,0,0,0,0
2017-12-10,2017,12,0,0,0,0,0,0,0
2017-12-09,2017,12,0,0,0,0,0,0,0
2017-12-08,2017,12,0,0,0,0,0,0,0
2017-12-07,2017,12,15,5,0,0,8,0,0
2017-12-06,2017,12,0,0,8,5,0,5,0
2017-12-05,2017,12,0,10,5,0,23,0,20
2017-12-04,2017,12,58,0,0,5,0,46,0
2017-12-03,2017,12,0,0,5,0,0,0,0
2017-12-02,2017,12,0,0,0,0,0,0,0
2017-12-01,2017,12,0,0,0,0,0,0,0
2017-11-30,2017,11,0,0,0,0,0,0,0
2017-11-29,2017,11,0,0,0,0,0,0,0
2017-11-28,2017,11,0,0,0,0,0,0,0
2017-11-27,2017,11,0,0,0,0,0,0,0
2017-11-26,2017,11,0,0,0,0,0,0,0
2017-11-25,2017,11,0,0,0,0,0,0,0
2017-11-24,2017,11,0,0,0,0,0,0,0
2017-11-23,2017,11,0,0,0,0,0,0,0
2017-11-22,2017,11,18,0,0,0,0,0,0
2017-11-21,2017,11,0,0,0,0,5,0,15
2017-11-20,2017,11,0,0,0,0,0,0,0
2017-11-19,2017,11,0,0,0,0,0,0,0
2017-11-18,2017,11,0,25,0,8,0,0,10
2017-11-17,2017,11,13,0,15,0,0,0,0
2017-11-16,2017,11,0,0,0,0,0,0,0
2017-11-15,2017,11,0,0,0,0,0,0,0
2017-11-14,2017,11,0,0,0,0,0,0,0
2017-11-13,2017,11,0,0,0,0,0,0,0
2017-11-12,2017,11,0,0,0,0,0,0,0
2017-11-11,2017,11,0,0,0,0,0,0,0
2017-11-10,2017,11,0,0,0,0,0,0,0
2017-11-09,2017,11,0,0,0,0,0,0,0
2017-11-08,2017,11,0,3,0,0,0,0,0
2017-11-07,2017,11,0,0,0,0,8,0,5
2017-11-06,2017,11,25,0,0,0,38,0,18
2017-11-05,2017,11,0,0,0,0,58,0,5
2017-11-04,2017,11,0,0,3,0,0,0,0
2017-11-03,2017,11,0,0,3,3,0,5,0
2017-11-02,2017,11,109,0,3,8,81,152,0
2017-11-01,2017,11,0,0,13,5,0,0,0
2017-10-31,2017,10,0,0,0,0,0,0,0
2017-10-30,2017,10,0,0,0,0,0,0,0
2017-10-29,2017,10,0,0,0,0,0,0,0
2017-10-28,2017,10,0,0,0,0,0,0,0
2017-10-27,2017,10,5,0,0,0,0,0,0
2017-10-26,2017,10,25,0,0,0,0,0,0
2017-10-25,2017,10,0,0,0,0,0,0,0
2017-10-24,2017,10,0,0,0,0,0,0,0
2017-10-23,2017,10,0,0,0,0,0,0,0
2017-10-22,2017,10,0,0,0,0,38,0,15
2017-10-21,2017,10,0,38,0,15,0,0,0
2017-10-20,2017,10,0,0,0,0,0,0,0
2017-10-19,2017,10,0,0,0,0,0,0,0
2017-10-18,2017,10,0,0,0,0,0,0,0
2017-10-17,2017,10,0,0,0,0,0,0,0
2017-10-16,2017,10,0,0,0,0,0,0,0
2017-10-15,2017,10,20,137,0,0,13,28,107
2017-10-14,2017,10,0,33,20,165,0,33,0
2017-10-13,2017,10,0,0,0,0,0,0,0
2017-10-12,2017,10,0,0,0,0,0,0,0
2017-10-11,2017,10,0,0,0,0,0,0,0
2017-10-10,2017,10,0,0,0,0,0,0,0
2017-10-09,2017,10,18,0,0,0,5,15,0
2017-10-08,2017,10,0,0,56,0,0,5,0
2017-10-07,2017,10,69,8,0,10,36,0,0
2017-10-06,2017,10,0,0,0,23,23,0,0
2017-10-05,2017,10,0,0,0,0,0,0,0
2017-10-04,2017,10,0,3,0,0,0,0,0
2017-10-03,2017,10,38,28,15,79,30,25,53
2017-10-02,2017,10,15,0,56,5,10,5,0
2017-10-01,2017,10,0,0,0,0,69,0,13
2017-09-30,2017,9,0,0,0,0,0,0,0
2017-09-29,2017,9,0,0,0,0,0,0,0
2017-09-28,2017,9,0,0,0,0,0,0,0
2017-09-27,2017,9,0,0,0,0,0,0,0
2017-09-26,2017,9,13,0,8,0,56,3,0
2017-09-25,2017,9,33,0,18,5,48,38,33
2017-09-24,2017,9,89,130,8,97,264,61,287
2017-09-23,2017,9,0,0,61,36,56,0,13
2017-09-22,2017,9,0,0,0,0,0,0,0
2017-09-21,2017,9,0,0,0,0,0,0,0
2017-09-20,2017,9,0,0,0,0,0,0,0
