sta,ecoreg,type,watshed,gage_group,drain_dens,area,elev,field_cap,slope,jul_temp,TWI,NMDS1,NMDS2,gof
bad_fpi,Pierre Shale Plains,gaged,Bad River,Pierre Shale,3.39747546758964,3.16061867561037,0.0933046621541047,5.14952702713581,1.95507355566372,5.33732806561458,1.30351435847275,1.48866309366092,1.97809455416281,0.0163549561093122
bat_bhr,Black Hills Transition,gaged,Cheyenne,Black Hills Transition,3.04432606003794,1.98813110240007,1.93855408305555,3.059582656454,3.70054223006695,2.61420150152551,2.95018876459031,-2.02117487639977,0.44833815771126,0.0201724525710963
bat_her,Black Hills Plateau,gaged,Cheyenne,Black Hills Plateau,2.87920027264521,1.78422022010263,3.23765263586652,2.29066605840823,4.09764506679218,1.96065112614413,3.64359649159579,-3.2799624004836,-0.533284348130841,0.0174564147945065
bev_abf,Black Hills Plateau,gaged,Cheyenne,Black Hills Plateau,2.68602447760174,1.47835389665646,3.75025537821135,1.96491557950493,3.91014711132744,1.96065112614413,3.41118848551748,-3.25485785512029,-1.15273984738332,0.017153248672377
bev_pri,Black Hills Plateau,gaged,Cheyenne,Black Hills Plateau,2.54298001966882,1.22346529378466,4.16970588881406,1.84571147515559,4.26725759893207,1.41602581332632,3.71503261686392,-4.10101970829568,-1.5803852568216,0.0165880256074542
blc_wan,Keya Paha Tablelands,gaged,White Riv,Keya Paha Tablelands,2.88680170770677,1.52933161723082,1.51399673898725,3.69510800889384,2.46702815337797,5.11947794048745,2.01792344367274,0.0758035051905741,0.147514130173082,0.00723780499488436
blp_bel,White River Badlands,gaged,White Riv,Tertiary Clays,3.34287147924049,1.93715338182571,0.884009517497678,3.69510800889384,1.95507355566372,5.22840300305101,1.0919126511178,0.895368414583426,0.562395548741167,0.00820019205557354
brsf_co,Pierre Shale Plains,gaged,Bad River,Pierre Shale,3.36406163685667,1.88617566125135,1.24157639080944,4.35175876146599,1.23351407668898,5.33732806561458,0.989632131088936,1.18420084987425,0.673435580230139,0.0132777341549402
che_buf,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,4.85303791051098,3.72137360192833,2.27453907409335,3.059582656454,1.95507355566372,3.48560200203401,1.50882986105116,-0.315098928887838,2.19852390114694,0.0181674078914181
che_pla,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,4.05461679798264,4.12919536652322,0.617381317643732,3.47395972836731,2.46702815337797,3.37667693947045,1.63962371576956,0.516783937453552,2.3966956193543,0.0171242722411237
che_red,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,4.78213082789321,3.7723513225027,2.02165789138983,3.10177557842598,1.95507355566372,3.48560200203401,1.54120374668367,-0.151877598419731,2.21617751563371,0.0168030958437111
che_sce,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,4.57452769856086,3.82332904307706,1.60428463908114,3.12280692639449,2.46702815337797,3.37667693947045,1.6895759673892,-0.152581036505521,2.15869854619559,0.0174603133629206
che_was,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,4.49355445901209,3.87430676365142,1.25119795930404,3.18564370262744,2.46702815337797,3.37667693947045,1.67286958046156,0.0823275882603095,2.24933892321732,0.0170699386560954
elk_elm,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,3.2142816654015,2.29399742584623,1.09795314761191,4.04755306106052,1.95507355566372,3.92130225228826,1.19651642732333,0.708629685493098,0.741091723241588,0.00910581876012174
frn_fai,Black Hills Plateau,gaged,Cheyenne,Black Hills Plateau,2.26063274977242,1.4273761760821,5.55191699936544,1.96491557950493,3.91014711132744,0,3.07831314835952,-5.43040915316145,-2.53386833155936,0.0216258960803967
hat_edg,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,4.56706521906984,2.65084146986676,3.48170301393745,4.23863557734703,1.95507355566372,4.46592756510607,1.67286958046156,-0.893243096048108,1.52427755127876,0.0177447751232355
hor_oel,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,4.97885540327733,1.73324249952827,3.54512269033381,5.09678737850628,1.23351407668898,4.90162781536032,1.22683979569586,-1.19701749375015,2.33035325053703,0.0337980501674615
key_key,Keya Paha Tablelands,gaged,Niobrara,Keya Paha Tablelands,2.16255417598942,2.29399742584623,1.17212053644435,2.73738660914128,1.23351407668898,4.90162781536032,0.433777291191358,1.60388076400728,-0.166688529055069,0.00902284528764324
key_wew,Keya Paha Tablelands,gaged,Niobrara,Keya Paha Tablelands,1.74189064102454,2.65084146986676,0.861644542641963,2.58337167681967,1.95507355566372,5.11947794048745,0.472098394941344,1.75654445377362,-0.03813414693365,0.0113012755979437
lcr_abv,Sand Hills,gaged,Lit White,Sand Hills,0,1.12150985263594,2.8508409762341,0.691544251534773,1.23351407668898,4.46592756510607,0.523743920016874,1.50616680357317,-3.40338182651844,0.0162811696640092
