sta,min_yr,max_yr,count_yr,station_nm,site_no,dec_lat_va,dec_long_va,alt_va,drain_area_va,contrib_drain_area_va,state_cd,county_cd,huc_cd,land_net_ds,coord_datum_cd,dec_coord_datum_cd,alt_datum_cd
che_was,1915,2017,103,"CHEYENNE RIVER NEAR WASTA, SD",6423500,44.08109849,-102.4012746,2260.78,12679,12674,46,103,10120111,NENENWS02 T01N  R14E  7,NAD27,NAD83,NGVD29
bev_buf,1938,2017,80,"BEAVER CR NEAR BUFFALO GAP,SD",6402500,43.4666495,-103.3060308,3151.87,127,127,46,47,10120109,NESES05 T07S  R07E  7,NAD27,NAD83,NAVD88
lwr_mar,1938,2017,80,"LITTLE WHITE R NEAR MARTIN,SD",6447500,43.1669155,-101.6327322,3045,313,299,46,7,10140203,NWSWNWS19 T37N  R36W  6,NAD27,NAD83,NGVD29
lcr_bel,1939,2017,79,"LAKE CR BELOW REFUGE NEAR TUTHILL,SD",6449000,43.1459166,-101.5128713,3055,121,121,46,7,10140203,SESES25 T37N  R36W  6,NAD27,NAD83,NGVD29
whi_kad,1942,2017,76,"WHITE R NEAR KADOKA,SD",6447000,43.7524949,-101.5248665,2122.18,4960,4953,46,71,10140202,SESES30 T03S  R22E  6,NAD27,NAD83,NGVD29
lwr_ros,1943,2017,75,LITTLE WHITE R NEAR ROSEBUD SD,6449500,43.3255586,-100.8837556,2294.99,1033,979,46,121,10140203,SWNWS28 T39N  R30W  6,NAD27,NAD83,NGVD29
whi_ogl,1943,2017,75,WHITE R NEAR OGLALA SD,6446000,43.25484357,-102.8273511,2853.54,2156,2156,46,102,10140201,SWNES24 T38N  R47W  6,NAD27,NAD83,NGVD29
rap_far,1946,2017,72,"RAPID CR NEAR FARMINGDALE,SD",6421500,43.94210239,-102.8539247,2699.74,603,603,46,103,10120110,SWSWSWS19 T01S  R11E  7,NAD27,NAD83,NAVD88
fal_hot,1947,2017,71,"FALL R AT HOT SPRINGS,SD",6402000,43.43053476,-103.4763069,3413.2,136,136,46,47,10120109,NWNWS24 T07S  R05E  7,NAD27,NAD83,NGVD29
spr_her,1949,2004,56,"SPRING CR NEAR HERMOSA,SD",6408500,43.9416695,-103.1591456,3265.3,205,205,46,103,10120109,SESESES 21T  2N R  2E,NAD27,NAD83,NGVD29
bat_her,1949,2017,69,"BATTLE CR AT HERMOSA,SD",6406000,43.82804586,-103.1960211,3290,169,169,46,33,10120109,NESWSWS32 T02S  R08E  7,NAD27,NAD83,NGVD29
lwr_whi,1950,2017,68,"LITTLE WHITE R BELOW WHITE RIVER,SD",6450500,43.60138549,-100.7498608,1912.78,1549,1495,46,95,10140203,SWNWS23 T42N  R29W  6,NAD27,NAD83,NGVD29
bat_bhr,1951,2017,67,"BATTLE CR BELOW HERMOSA,SD",6406500,43.72543145,-102.9061231,2800.32,284,284,46,103,10120109,NESWSES03 T04S  R10E  7,NAD27,NAD83,NAVD88
hat_edg,1951,2017,67,"HAT CR NEAR EDGEMONT,SD",6400000,43.2399736,-103.5882519,3297.31,959,956,46,47,10120108,SWSENES25 T09S  R04E  7,NAD27,NAD83,NAVD88
lcr_vet,1959,2017,59,"LITTLE WHITE R NEAR VETAL,SD",6449100,43.10069918,-101.232234,2780.69,607,571,46,7,10140203,NENWS17 T36N  R33W  6,NAD27,NAD83,NGVD29
whi_slm,1962,1997,36,"WHITE RIVER AT SLIM BUTTE, SD",6445700,43.08970356,-102.7982327,3000,1426,1426,46,102,10140201,SESWSES 13T  36NR  47W,NAD27,NAD83,NGVD29
wcc_ogl,1966,1999,34,WHITE CLAY CR NEAR OGLALA SD,6445980,43.14651127,-102.6833116,3001.54,375,375,46,102,10140201,NWSESES30 T37N  R45W  6,NAD27,NAD83,NGVD29
ros_ros,1975,2004,30,ROSEBUD CR AT ROSEBUD SD,6449400,43.2372267,-100.8576446,2531.91,49,49,46,121,10140203,"",NAD27,NAD83,NGVD29
lwr_abv,1982,2004,23,LITTLE WHITE R ABV ROSEBUD SD,6449300,43.26305967,-100.9176459,2416,911,855,46,121,10140203,"",NAD27,NAD83,NGVD29
frn_fai,1982,2017,36,FRENCH CR ABOVE FAIRBURN SD,6403300,43.7172105,-103.3679713,3850,105,105,46,33,10120109,SWSWNES11 T04S  R06E  7,NAD27,NAD83,NGVD29
hor_oel,1983,2017,35,"HORSEHEAD CR AT OELRICHS,SD",6400875,43.18803166,-103.2265866,3316.3,188,188,46,47,10120106,SWSWSWS07 T10S  R08E  7,NAD27,NAD83,NAVD88
whi_sta,1988,2017,30,WHITE R NR NE-SD STATE LINE,6445685,43.013036,-102.8357327,3030,1367,1367,46,102,10140201,NESWNES15 T35N  R47W  6,NAD27,NAD83,NGVD29
brsf_co,1989,2017,29,"SOUTH FORK BAD R NEAR COTTONWOOD,SD",6440200,43.9690175,-101.767229,2242.96,257,257,46,71,10140102,NESWSES07 T01S  R20E  5,NAD27,NAD83,NGVD29
bev_abf,1991,1997,7,"BEAVER CREEK ABOVE BUFFALO GAP, SD",6402470,43.52220578,-103.356863,3372,111,111,46,33,10120109,SWSESWS 13T   6SR   6E,NAD27,NAD83,NGVD29
bev_pri,1991,2017,27,"BEAVER CREEK NEAR PRINGLE, SD",6402430,43.58137177,-103.4765835,4180,45.6,45.6,46,33,10120109,NESWSWS25 T05S  R05E  7,NAD27,NAD83,NGVD29
wkc_wok,1992,1997,6,"WOUNDED KNEE CREEK AT WOUNDED KNEE, SD",6446100,43.14351647,-102.3583815,3200,73.5,73.5,46,102,10140201,NENWS36 T37N  R43W  6,NAD27,NAD83,NGVD29
blp_bel,1992,2017,26,"BLACK PIPE CREEK NR BELVIDERE, SD",6447230,43.75527266,-101.2279205,2060,273,273,46,95,10140202,NWNWS27 T44N  R33W  6,NAD27,NAD83,NGVD29
