sta,station_nm,site_no,dec_lat_va,dec_long_va,alt_va,drain_area_va,contrib_drain_area_va,state_cd,county_cd,huc_cd,land_net_ds,coord_datum_cd,dec_coord_datum_cd,alt_datum_cd
ant_gor,"Antelope Creek near Gordon, Nebr.",6458000,42.735475,-102.0164333,3336,,,31,31,10150003,SWSES21 T32N  R40W  6,NAD83,NAD83,NAVD88
bad_mid,"BAD R NEAR MIDLAND,SD",6441000,44.0672095,-101.1608623,1849.14,1466,1466,46,55,10140102,NENWS07 T01N  R25E  7,NAD27,NAD83,NGVD29
bat_bhr,"BATTLE CR BELOW HERMOSA,SD",6406500,43.72543145,-102.9061231,2800.32,284,284,46,103,10120109,NESWSES03 T04S  R10E  7,NAD27,NAD83,NAVD88
bat_her,"BATTLE CR AT HERMOSA,SD",6406000,43.82804586,-103.1960211,3290,169,169,46,33,10120109,NESWSWS32 T02S  R08E  7,NAD27,NAD83,NGVD29
bat_key,"BATTLE CR NEAR KEYSTONE,SD",6404000,43.87164727,-103.3363029,3798.15,58.5,58.5,46,103,10120109,SWSWS18 T02S  R07E  7,NAD27,NAD83,NAVD88
bea_eli,BEAR C NR ELI NEBR,6458500,42.90305556,-101.5130556,3110,360,78,31,31,10150003,"",NAD83,NAD83,NGVD29
bev_abf,"BEAVER CREEK ABOVE BUFFALO GAP, SD",6402470,43.52220578,-103.356863,3372,111,111,46,33,10120109,SWSESWS 13T   6SR   6E,NAD27,NAD83,NGVD29
bev_buf,"BEAVER CR NEAR BUFFALO GAP,SD",6402500,43.4666495,-103.3060308,3151.87,127,127,46,47,10120109,NESES05 T07S  R07E  7,NAD27,NAD83,NAVD88
bev_pri,"BEAVER CREEK NEAR PRINGLE, SD",6402430,43.58137177,-103.4765835,4180,45.6,45.6,46,33,10120109,NESWSWS25 T05S  R05E  7,NAD27,NAD83,NGVD29
blp_bel,"BLACK PIPE CREEK NR BELVIDERE, SD",6447230,43.75527266,-101.2279205,2060,273,273,46,95,10140202,NWNWS27 T44N  R33W  6,NAD27,NAD83,NGVD29
bor_cha,BIG BORDEAUX CREEK NEAR CHADRON NEBR,6445590,42.72497148,-102.9293476,3800,9.4,,31,45,10140201,"",NAD27,NAD83,NGVD29
brnf_ph,NORTH FORK BAD R NEAR PHILIP SD,6440500,44.0385996,-101.682922,2154.19,187,187,46,55,10140102,"",NAD27,NAD83,NGVD29
brsf_co,"SOUTH FORK BAD R NEAR COTTONWOOD,SD",6440200,43.9690175,-101.767229,2242.96,257,257,46,71,10140102,NESWSES07 T01S  R20E  5,NAD27,NAD83,NGVD29
cas_hot,CASCADE SPRINGS NEAR HOT SPRINGS SD,6400497,43.33608707,-103.552418,3440,0.47,0.47,46,47,10120106,"",NAD27,NAD83,NGVD29
che_buf,CHEYENNE R NEAR BUFFALO GAP SD,6402600,43.5019636,-103.0744103,2812.85,9792,9788,46,33,10120109,SWNE  S29 T06S  R09E,NAD27,NAD83,NAVD88
che_hot,CHEYENNE R NEAR HOT SPRINGS SD,6400500,43.30525297,-103.5624182,3190.89,8719,8714,46,47,10120106,"",NAD27,NAD83,NGVD29
che_red,"CHEYENNE RIVER AT RED SHIRT, SD",6403700,43.6724058,-102.8921298,2653.21,10259,10254,46,33,10120109,SWSENWS26 T04S  R10E  6,NAD27,NAD83,NAVD88
che_sce,"CHEYENNE RIVER NEAR SCENIC, SD",6408650,43.8980449,-102.6440611,2432.37,11208,11204,46,103,10120109,SENWSES2  T2S   R12E,NAD27,NAD83,NAVD88
che_was,"CHEYENNE RIVER NEAR WASTA, SD",6423500,44.08109849,-102.4012746,2260.78,12679,12674,46,103,10120111,NENENWS02 T01N  R14E  7,NAD27,NAD83,NGVD29
chr_ang,"CHEYENNE R BELOW ANGOSTURA DAM,SD",6401500,43.34497757,-103.4371412,3058.02,9097,9092,46,47,10120109,NENWNWS20 T08S  R06E  7,NAD27,NAD83,NGVD29
fal_hot,"FALL R AT HOT SPRINGS,SD",6402000,43.43053476,-103.4763069,3413.2,136,136,46,47,10120109,NWNWS24 T07S  R05E  7,NAD27,NAD83,NGVD29
fre_fai,FRENCH CR NEAR FAIRBURN SD,6403500,43.6852666,-103.2999163,3510,116,116,46,33,10120109,SENESES20 T4S   R7E,NAD27,NAD83,NGVD29
frn_fai,FRENCH CR ABOVE FAIRBURN SD,6403300,43.7172105,-103.3679713,3850,105,105,46,33,10120109,SWSWNES11 T04S  R06E  7,NAD27,NAD83,NGVD29
hat_edg,"HAT CR NEAR EDGEMONT,SD",6400000,43.2399736,-103.5882519,3297.31,959,956,46,47,10120108,SWSENES25 T09S  R04E  7,NAD27,NAD83,NAVD88
hor_aoe,HORSEHEAD CR NEAR OELRICHS SD,6400870,43.11580817,-103.2288079,3390,160,160,46,47,10120106,"",NAD27,NAD83,NGVD29
hor_oel,"HORSEHEAD CR AT OELRICHS,SD",6400875,43.18803166,-103.2265866,3316.3,188,188,46,47,10120106,SWSWSWS07 T10S  R08E  7,NAD27,NAD83,NAVD88
lcr_abv,"LAKE CR ABOVE REFUGE NEAR TUTHILL,SD",6448000,43.08711217,-101.60387,3090,57,57,46,7,10140203,NESWNES19 T36N  R36W  6,NAD27,NAD83,NGVD29
