month,mu_1,sigma_1,gamma_1,mu_2,sigma_2,gamma_2,mu_3,sigma_3,gamma_3,mu_4,sigma_4,gamma_4,mu_5,sigma_5,gamma_5,mu_6,sigma_6,gamma_6,mu_9,sigma_9,gamma_9,mu_12,sigma_12,gamma_12,mu_18,sigma_18,gamma_18,mu_24,sigma_24,gamma_24
1,76.2880733944954,48.1496752143905,0.877396687973152,73.8662037037037,34.5475359961814,0.61721898451179,64.7179012345679,26.3293410055942,0.772387130220631,54.0104166666667,19.2864655363213,0.616821621690963,45.4616666666667,15.8616434381666,0.598112198794768,39.5651234567901,13.2307960449411,0.556885655707135,31.9847736625515,9.87996968454615,0.623867851067068,34.0344135802469,8.92110641400445,0.513277292542394,35.9252855659398,7.31587466791748,0.251101977157711,34.0860591900311,6.70366567651321,0.368515621311914
2,50.6266055045871,36.646135317092,1.34208881202965,63.4573394495413,32.6366862032921,0.804901146293437,65.9481481481482,27.9458056657781,0.704501307090445,61.0664351851852,22.9051591368685,0.614259438555454,53.2307407407408,17.8764153414371,0.527356921475189,46.2367283950617,15.2914941982224,0.547512236762648,34.4002057613169,10.5315002533626,0.631473254431071,33.9836419753087,9.28970540464997,0.628721979282334,38.1668743509865,7.85686555423947,0.327976913009725,34.0600856697819,6.75968509893879,0.345150488680331
3,40.0165137614679,28.3015900398502,1.35346914285857,45.3215596330275,22.3989113945134,0.806747040094903,55.6437308868502,22.5491510688277,0.69812848994403,59.5349537037037,21.489119192073,0.585222959271396,56.9122222222222,19.1295159484582,0.436409025622402,51.0748456790124,15.3933870611051,0.393489066033479,37.5094650205761,10.6160640344206,0.46537087559534,33.9832561728395,9.18344992544483,0.456320902546753,39.7923676012461,8.03975186219584,0.214541937769298,34.0823987538941,6.65358512193573,0.373043872036803
4,30.0990654205608,26.7465576769269,1.65537769507675,34.7816513761468,20.8663039615947,1.35759152737598,40.0633027522936,17.0244815718077,0.65566463079928,49.119495412844,17.0706608010362,0.883315205902855,53.5387037037037,17.5203578933822,0.776451515069548,52.3524691358025,16.1176710078558,0.712687583254983,39.7057613168724,10.6182052599453,0.70732881792126,33.9853395061728,9.0074440135938,0.782387906766584,40.2214953271028,8.01942225354908,0.354526184804993,34.0764797507788,6.47788147955205,0.435235496229897
5,29.7019230769231,27.7550576463663,1.89656095980952,28.9431192660551,20.102526662756,1.26593660635466,32.634250764526,18.5326770865338,1.45176317727181,37.1323394495413,15.741066425918,0.967998282395404,44.9634862385321,15.3572044501191,0.897177378648297,49.3723765432099,15.9330202359326,0.909064889495508,41.7566872427983,11.5953266427205,0.802860854910949,33.9993055555556,9.08521673283347,0.890396332789054,39.2450674974039,8.09013912934119,0.338724301471833,34.0834890965732,6.36908645084091,0.410513191870539
6,12.9368932038835,11.613592013446,1.76015285703994,20.2821100917431,15.3096363645492,1.66572051439786,23.3703363914373,13.9954514643782,1.05664051126672,27.5318807339449,14.0760405001859,1.29739808996706,32.1508256880734,13.0645681665133,0.958539719032242,39.5070336391437,13.1687205964089,0.906587429740412,41.8649176954732,11.5689876905383,0.773125808399163,33.9933641975309,8.96048223461271,0.869943787034771,35.856121399177,7.89417619969617,0.449814491088529,34.0768302180685,6.36855825105537,0.373721250853726
7,10.3339805825243,9.2504508066919,1.8546141177387,10.9949541284404,7.86456626055776,1.38980697584917,16.7764525993884,11.1101856538076,1.72213646121876,19.9690366972477,11.1031324406809,1.1206790463078,23.9785321100917,11.7692371352085,1.35978185122018,28.419877675841,11.1805702427667,0.973881786321136,40.5127572016461,11.838296902301,0.824437964396794,33.9876543209877,8.93932883071123,0.854888818252564,32.159670781893,7.51088380149197,0.690317550681098,34.0776869158879,6.31663121069811,0.285125357753286
8,10.5528846153846,10.5550996005741,2.42763197849597,9.91697247706422,7.33876702242729,1.84651731619375,10.6862385321101,6.48372606167501,1.35491740392181,15.0995412844037,8.5656336926037,1.43243949011529,17.9889908256881,8.82770828703088,1.05388694533196,21.660244648318,9.65597315420272,1.29135729291143,36.4665637860082,10.8884836225656,0.875379575441534,33.98125,8.87428680456231,0.729728428879254,29.8976851851852,6.96062833846065,0.5775750124473,34.0826713395639,6.36748411113858,0.172811107291851
9,11.5934579439252,11.1805354368223,1.98577489020613,10.7247706422018,8.13326215420012,1.70315166335294,10.4048929663609,6.55782256016901,1.50398509588946,10.8598623853211,5.99650859713954,1.23367809518796,14.3557798165138,7.35601233475549,1.1881669359755,16.8876146788991,7.72636029816251,0.860100568983457,29.8063200815494,9.0655253165572,0.851864555178808,33.9981481481482,8.79721384444016,0.724123033897915,28.295987654321,6.76191600964405,0.623560784654436,34.0882398753894,6.38003964049965,0.152905436457968
10,22.2407407407407,17.3999985683923,1.66245812605311,16.7087155963303,10.6531525652193,1.35837748213798,14.4954128440367,8.04902391320376,1.05993466791511,13.3128440366972,6.52834623492579,1.08234868597286,13.0952293577982,5.76536762472856,0.849095801994197,15.6359327217125,6.88640456314387,0.886904132890055,23.7783893985729,7.90504349086389,0.810465756985376,34.0126543209877,9.10272130186784,0.739202682524668,27.8811728395062,6.81276661736582,0.778474970790335,34.1031152647975,6.46817256308046,0.241393140603113
