date,name,sta_id,year,month,prcp
2017-12-31,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-30,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,28
2017-12-29,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,5
2017-12-28,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-27,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-26,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-25,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-24,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-23,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,3
2017-12-22,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,5
2017-12-21,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,8
2017-12-20,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,3
2017-12-19,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-18,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-17,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-16,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-15,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-14,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-13,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-12,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-11,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-10,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-09,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-08,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-07,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-06,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,8
2017-12-05,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,5
2017-12-04,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-03,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,5
2017-12-02,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-12-01,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,12,0
2017-11-30,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-29,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-28,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-27,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-26,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-25,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-24,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-23,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-22,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-21,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-20,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-19,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-18,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-17,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,15
2017-11-16,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-15,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-14,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-13,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-12,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-11,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-10,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-09,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-08,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-07,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-06,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-05,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,0
2017-11-04,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,3
2017-11-03,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,3
2017-11-02,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,3
2017-11-01,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,11,13
2017-10-31,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-30,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-29,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-28,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-27,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-26,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-25,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-24,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-23,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-22,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-21,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-20,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-19,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-18,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-17,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-16,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-15,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-14,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,20
2017-10-13,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-12,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-11,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-10,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-09,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-08,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,56
2017-10-07,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-06,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-05,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-04,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-10-03,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,15
2017-10-02,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,56
2017-10-01,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,10,0
2017-09-30,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-29,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-28,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-27,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-26,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,8
2017-09-25,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,18
2017-09-24,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,8
2017-09-23,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,61
2017-09-22,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-21,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-20,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-19,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,8
2017-09-18,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-17,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-16,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-15,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,84
2017-09-14,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-13,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-12,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,89
2017-09-11,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-10,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-09,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,5
2017-09-08,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,3
2017-09-07,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-06,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-05,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-04,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-03,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-02,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,0
2017-09-01,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,9,8
2017-08-31,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,8,5
2017-08-30,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,8,0
2017-08-29,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,8,0
2017-08-28,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,8,0
2017-08-27,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,8,0
2017-08-26,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,8,8
2017-08-25,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,8,0
2017-08-24,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,8,0
2017-08-23,"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,2017,8,0
