Explanatory variable,Transformation,Pierre Shale Plains,Pine Ridge Escarpment,White River Badlands,Black Hills Plateau,Keya Paha Tablelands,Sand Hills
Intercept,NA,0.78,1.03,1.12,1.64,1.73,2.07
perc_cov,ln(x),0.24,0,0,0,0,0
kvert_mean,ln(x),0.19,0,0,0,0.19,0.08
summer,NA,0.17,0.17,0.24,0.04,0.07,0.03
spring,NA,0.15,0.26,0.26,0.01,0.14,0.11
year,NA,0.1,0.03,0.07,0.08,0,0.04
cat_area,1/ln(x),0.02,0.05,0,0.24,0.03,0
drain_dens,none,0.01,0,0,0.03,0,-0.09
slop_med,ln(x),0,0.08,0,-0.22,0.01,0.11
lw_ratio,ln(x),-0.11,0.05,0,-0.31,-0.17,-0.06
cat_out,sqrt(x),-0.17,0,-0.07,0,0,0
,,,,,,,
